Euclidean distance to entrance (meter),Euclidean distance to source of daylight (meter),CO2 Levels in PPM * 0.001
47.23,2.50,490.196
47.93,1.50,450.98
67.79,1.50,513.725
67.13,2.50,513.725
66.56,3.50,494.118
66.04,4.50,494.118
65.58,5.50,486.275
65.17,6.50,486.275
64.83,7.50,478.431
64.55,8.50,478.431
64.35,9.50,470.588
64.31,10.50,470.588
42.02,8.00,392.157
41.52,7.00,384.314
41.12,6.00,384.314
40.77,5.00,380.392
40.50,4.00,380.392
40.29,3.00,372.549
40.26,2.00,372.549
4.54,1.00,509.804
4.68,2.00,509.804
5.05,3.00,545.098
5.53,4.00,545.098
6.11,5.00,584.314
6.81,6.00,584.314
7.59,7.00,619.608
8.42,8.00,619.608
45.19,10.50,643.137
45.22,9.50,600
45.42,8.50,600
45.70,7.50,549.02
46.05,6.50,549.02
46.45,5.50,509.804
46.92,4.50,509.804
47.43,3.50,474.51
48.01,2.50,474.51
48.66,1.50,435.294
68.57,1.50,513.725
67.95,2.50,513.725
67.41,3.50,494.118
66.92,4.50,494.118
66.49,5.50,486.275
66.11,6.50,486.275
65.79,7.50,478.431
65.53,8.50,478.431
